Sample_ID	Acentrella	Acroneuria	Antocha	Atrichopogon	Baetis	Bezzia_Palpomyia	Cambarus	Ceratopsyche	Cheumatopsyche	Demicryptochironomus	Diplectrona	Dixa	Dolophilodes	Drunella	Ectopria	Eukiefferiella	Gomphidae	Helichus	Hemerodromia	Hexatoma	Isonychia	Leuctra	Oligochaeta	Optioservus	Orconectes	Parachaetocladius	Paraleptophlebia	Parametriocnemus	Paratanytarsus	Polypedilum	Procloeon	Psephenus	Rheotanytarsus	Rhyacophila	Simulium	Stenonema	Sweltsa	Tanytarsus	Thienemannimyia	Tipula	Tvetenia	Anopheles	Boyeria	Caenis	Corbicula	Leucrocuta	Natarsia	Orthocladius	Perlesta	Stenacron	Thienemanniella	Atherix	Cricotopus	Hydropsyche	Hydroptila	Saetheria	Slavina	Amphinemura	Bittacomorpha	Centroptilum	Cordulegaster	Diploperla	Dixella	Ephemerella	Eurylophella	Gammarus	Ironoquia	Isoperla	Limnophora	Microtendipes	Neophylax	Paratendipes	Pycnopsyche	Rhagovelia	Rheocricotopus	Tabanus	Viviparus	Chimarra	Corydalus	Diamesa	Dubiraphia	Gonielmis	Lanthus	Macronychus	Paratrichocladius	Peltoperla	Potamyia	Prosimulium	Stenelmis	Ameletus	Cinygmula	Clioperla	Epeorus	Ephemera	Haploperla	Lepidostoma	Lirceus	Micropsectra	Nigronia	Ostrocerca	Stylogomphus	Yugus	Anchytarsus	Corynoptera	Eccoptura	Malirekus	Ormosia	Wormaldia	Chironomus	Cryptochironomus	Cricotopus_Orthocladius	Microcylloepus	Corynoneura	Nilotanypus	Physella	Prostoma	Acerpenna	Cardiocladius	Alloperla	Habrophlebiodes	Limonia	Phaenopsectra	Gomphus	Sphaerium	Calopteryx	Tricorythodes	Hydrobius	Pseudolimnophila	Stenochironomus	Nixe	Plauditus	Chrysops	Pristina	Stictochironomus	Helochares	Lymnaea	Culicoides	Ischnura	Myxosargus	Odontomyia	Probezzia	Sialis	Stratiomys	Diphetor	Krenosmittia	Stempellina	Sympotthastia	Brillia	Psychoda	Pericoma	Homoplectra	Molophilus	Larsia	Heptagenia	Tribelos	Dineutus	Ferrissia	Helocombus	Caecidotea	Argia	Turbellaria	Zealeuctra	Limnophila	Dolichopodidae	Helisoma	Platysmittia	Chelifera	Heleniella	Hydrobaenus	Oulimnius	Polycentropus	Limnophyes	Ablabesmyia	Ephydridae	Peltodytes	Dicrotendipes	Pedicia	Chaetocladius	Xylotopus	Diplocladius	Anacaena	Laccobius	Dicranota	Gymnometriocnemus	Paralauterborniella	Stempellinella	Zavrelimyia	Hydracarina	Leucotrichia	Elimia	Protoplasa	Glossosoma	Goera	Pteronarcys	Agapetus	Remenus	Clinocera	Mesocricotopus	Neostempellina	Stilocladius	Empididae	Potthastia	Soyedina	Tallaperla	Rasvena	Pilaria	Promoresia	Lype	Serratella	Paraphaenocladius	Neoperla	Ceratopogon	Paracapnia	Paramerina	Monohelea	Basiaeschna	Gyrinus	Pseudocloeon	Crangonyx	Taenionema	Fossaria	Heterotrissocladius	Libellulidae	Paranemoura	Strophopteryx	Tropisternus	Rheosmittia	Paracladopelma	Nanocladius	Robackia	Ancyronyx	Cryptotendipes	Enallagma	Hetaerina	Macromia	Mesovelia	Triaenodes	Capniidae	Philopotamidae	Siphlonuridae	Veliidae	Cryptolabis	Parakiefferiella	Polycentropodidae	Gonomyia	Dannella	Taeniopteryx	Gerridae	Cladotanytarsus	Sublettea	Constempellina	Dasyhelea	Paragnetina	Epoicocladius	Helicopsyche	Leptoxis	Synorthocladius	Muscidae	Hydrophilidae	Procladius	Macrostemum	Baetisca	Micrasema	Psectrocladius	Chaoborus	Forcipomyia	Psychomyia	Agnetina	Choroterpes	Laevapex	Culex	Dytiscidae	Zavrelia	Pisidium	Limnephilidae	Hirudinea	Microvelia	Nematoda	Hydrochus	Hyalella	Pseudochironomus	Zalutschia	Timpanoga	Pentaneura	Sphaeromias	Paracricotopus	Anthopotamus	Telmatoscopus	Lebertia	Bryophaenocladius	Camptocladius	Helius	Prionoxystus	Psilometriocnemus	Allocapnia	Attenella	Hydatophylax	Hexagenia	Procambarus	Phryganeidae	Sperchon	Einfeldia	Hudsonimyia	Peltoperlidae	Ptilostomis	Neoplasta	Blepharicera	Lopescladius	Nilothauma	Pyralidae	Pseudorthocladius	Palaeagapetus	Cymbiodyta	Tortricidae	Neozavrelia	Archips	Nyctiophylax	Endochironomus	Oecetis	Enochrus	Cladopelma	Caloparyphus	Mystacides	Nematocera	Nemoura	Chauliodes	Monodiamesa	Somatochlora	Rhithrogena	Ophiogomphus	Micromenetus	Tokunagaia	Krenopelopia	Brachycentrus	Brachypremna	Acricotopus	Dicranopselaphus	Prionocera	Utaperla	Hydraenidae	Celina	Smittia	Habrophlebia	Monopelopia	Aeshna	Limoniinae	Helophorus	Platyvelia	Pseudosmittia	Tanypus	Arigomphus	Macromiidae	Apedilum	Oreogeton	Pagastia	Euparyphus	Paraleuctra	Trepobates	Neoephemera	Ochrotrichia	Sminthuridae	Gyraulus	Planorbidae	Agraylea	Zavreliella	Lipsothrix	Anisoptera	Phylocentropus	Leptophlebia	Laccophilus	Agabus	Synurella	Radotanypus	Parapsectra	Metriocnemus	Culicidae	Parachironomus	Cultus	Harnischia	Odontomesa	Petrophila	Crambus	Leptoceridae	Glyptotendipes	Doithrix	Molanna	Epiphragma	Shipsa	Prostoia	Corduliinae	Labrundinia	Berosus	Nectopsyche	Progomphus	Hydroporus
1	2	23	1	4	12	1	2	1	30	1	1	4	21	1	1	2	7	9	15	4	1	14	2	1	1	2	1	2	1	11	1	1	2	1	1	4	2	1	6	1	2																																																																																																																																																																																																																																																																																																																																																																		
20							1		44													1	5	3	2					6			2		16	1		1		2		1	1	4	3	1	4	5	3	1	1																																																																																																																																																																																																																																																																																																																																																								
21			1		16			1	62															4				7		2					5				5				1						12			7	25	2	1	1	1																																																																																																																																																																																																																																																																																																																																																		
26							19											3					14					4											17	33							1						2					3	1	1	2	42	1	24	9	1	3	3	1	1	1	3	2	2	4	1	1																																																																																																																																																																																																																																																																																																																														
27								15	125												1		1		7										12					2			1						1			1	1		1																							2	2	1	10	2	1	2	2	1	1	5																																																																																																																																																																																																																																																																																																																			
28							5		82										1			5	19	3	3								4		2	3							2		8								6	2																									1		1		1						1																																																																																																																																																																																																																																																																																																																		
40	8	1			1				1						9			12		2		4	2					1				2		1		9	1		1	1			2							1								22				1		67	5			7			1															1			3	8	7	2	2	3	3	1	1	1	1	1	3	1																																																																																																																																																																																																																																																																																																					
43					5		4				3				6			1				2		2			1	1						4	2	2	3		1											1								20						41	3			1			1												1			9		1	4	28	9		23		3				1	2		2	1	2	1	4	1	4																																																																																																																																																																																																																																																																																															
58					64			2	42											1			49	11	3			2		1								1		1							12	6																															3																														1	1																																																																																																																																																																																																																																																																																													
59					43				24										12	1			17	67	2					1			2						4														9		1																								6		1								2																						6	2																																																																																																																																																																																																																																																																																											
60					3				78										5		1		3	41						10			3		5			22	7														4	1																					7	1			1					1																													1	2	2	1																																																																																																																																																																																																																																																																																							
62	5				11			1	3		3								1			3	17					3				2			3				1	1				1				18					1					93				5		20				2										1																								1															1	3																																																																																																																																																																																																																																																																																					
63	30	1	2		1		7	1	7					12		2			1				3	1				1		4										2							2	6						2				27						6	1			22			1				1					2									1	3			1																										8	1	1	1																																																																																																																																																																																																																																																																																	
65			1				5		27												36				3					1					1	113							1		2					4		2																																															2		1																						1																																																																																																																																																																																																																																																																																
66							2		83												14		5	1				2		4					6	39			5	4			1		2									2											1									5	8				4									2	8																						1													1																																																																																																																																																																																																																																																																															
67	1				39			17	64							1					12	4		3						3		1	1		10	10									3							1	4	5																									2		10							2					1																1			1													1	1																																																																																																																																																																																																																																																																													
68						1	1				1																	6											11	22								2											1													1	1																																																			2			1	32	2																																																																																																																																																																																																																																																																										
69	5		1		34		3		78												46			3				5				1	5		4	1											2		1					3																					1														4										2																														1																																																																																																																																																																																																																																																																										
70					27		4		7									12		3	1		7		1		16	2							10					1			1	2			4	6	4									1																	1						1								6				1																																					34	48																																																																																																																																																																																																																																																																								
73							2		6														7							2									1	1	1			6			1											2									1													41					41				10						1																																																																																																																																																																																																																																																																																																												
75							2		4														34					4		19			7					4		2							31	4																	1			1							4														4						1						1								4													58										1	10	4																																																																																																																																																																																																																																																																					
76							1																34					1		2										4													1												1															45					5																														1																				1	2																																																																																																																																																																																																																																																																			
77											1							2		1		3	3					3		1									37	4	1						2											79				1																2											12																4		1				1														1			31				1					1	1	1	1	3	1	1																																																																																																																																																																																																																																																												
79					1		1							4				1	1	17		28		3			3			4				1	3			3			3		1							1			1					61						26				1			1																				14		5		9										1																																							3	2	1																																																																																																																																																																																																																																																									
80					98			23	19							1								1			1	6							7	3			4	1			1										5	4			23							1																																										1												1																																																																																																																																																																																																																																																																																					
82							2		60							1		1		1			19				1	4		4		3			19	19	2		3	5	1			4				9					4	3				1						2	1			5		2						1				6															5													1			11																																																																																																																																																																																																																																																																																												
83									21							10			5			1	6					8							3																		13	3				1										1												9					119																																																																																																																																																																																																																																																																																																																						
85					5		2		8					4					4		6		1				4	41				2				13			17					5				7					8					20						30																						1			1					1																	17																																				3																																																																																																																																																																																																																																																								
86							1		35														27					19		5					49			2	14	1								23						2				1																														11																					3		5																																					1	1																																																																																																																																																																																																																																																						
87					94			1	39										1		5		2	8	3					7		1	4			13					1			3			2			2		4													1														1																						2																																	2								4																																																																																																																																																																																																																																																													
91							4		1							3			1				28					3		6									25	6																								1																																			1								1				19				3																																			6																																																																																																																																																																																																																																																					
92																							172					6		5									5									8																																																								1					1													2																																																																																																																																																																																																																																																																																	
93									39														24		1					5					1				77	7				25				2																															3	1									12																																				1																										1	1																																																																																																																																																																																																																																																			
95					69				66							2			3		1			11				5		25		2	2		3			2	3															2	1																																																																																																																																																																																																																																																																																																																																																				
96		1			16				110											1			4	35	3			1		6			1			8			1		1			2			2																																										3										5																																																																																																																																																																																																																																																																																																								
97									1										1				9					26							4				15									11					19					1							1							6								14																		4											19		52																																					7	1				9																																																																																																																																																																																																																																																		
98					91				23								2				11			5	2			2		3		5	7			4								4																										12									8		18																																											3																																																																																																																																																																																																																																																																															
99					89			2	12							8				2	1	1	3	1											1				7									70																1																																			1																													1																																																																																																																																																																																																																																																																											
100	5				19				1		2		1	4			3		2		2	1	65				2	6				1							4									63					4					1						1				1												4								1						1																																																												6																																																																																																																																																																																																																																																	
101	2				67		2	1			1			1						1	1	1	2		3		1	2		1	1	1							1					2				2		1				1																									1		2								1	1											1																																														1																																																																																																																																																																																																																																																								
102					31			1	1		3												5					5								1			10									62	1					3				4				1		1	1			2																																																																																																																																																																																																																																																																																																																																							
104	1	2			6		9										5	1			6	2	1									3			2	4			3					11									2					18							1			1																					3																						6																							1																				1	1																																																																																																																																																																																																																																																
105					45				66										33				1	1				12		6					2	1			16																															2									1		3																		1										1						2								3																			1														2	1																																																																																																																																																																																																																																														
