Sample_ID	a69	Lat	Julian
90604	0	38.05497	109
90605	0	38.06729	25
90606	0	37.71084	117
90607	0	38.09446	109
90608	0	38.25124	308
90609	0	38.25124	124
90610	0	38.25124	39
90611	0	38.24931	308
90612	0	38.24931	224
90614	0	38.24931	39
90615	0	38.07216	109
90616	0	38.05497	25
90617	0	38.05041	108
90618	0	38.05041	25
90619	0	38.05393	299
90620	0	38.05393	108
90621	0	38.05393	24
90623	0	37.93361	116
90624	0	38.24931	124
90625	0	38.09055	298
90626	0	37.93361	26
90627	0	37.93361	300
90628	0	38.08321	299
90629	0	38.08321	208
90630	0	38.08321	110
90631	0	38.08321	25
90632	0	38.09097	298
90633	0	38.09097	208
90634	0	38.06729	109
90635	0	38.09097	24
90636	0	38.07216	25
90637	0	38.09055	208
90638	0	38.09055	109
90639	0	38.09055	24
90640	0	38.085	299
90641	0	38.085	208
90642	0	38.085	109
90643	0	38.085	25
90644	0	38.07216	299
90645	0	38.07216	207
90646	0	38.09097	110
90647	0	38.09055	110
90648	0	37.84484	116
90649	0	37.88316	112
90650	0	37.8734	112
90651	0	37.87467	112
90652	0	37.86289	112
90653	0	37.90542	111
90654	0	37.90919	111
90655	0	37.93361	111
90657	0	38.09097	110
90658	0	37.70635	117
90659	0	38.085	110
90660	0	38.07216	110
90661	0	38.06729	110
90662	0	38.05497	109
90663	0	38.05041	109
90664	0	38.05393	109
90666	0	37.88316	300
90667	0	38.08321	110
90668	0	38.35242	125
90669	0	38.25124	224
90670	0	37.90947	118
90672	0	38.25124	126
90673	0	38.24931	126
90674	0	38.25059	126
90675	0	38.29742	125
90676	0	38.34425	125
90677	0	37.70963	116
90678	0	38.34459	125
90679	0	37.72695	116
90680	0	37.90703	119
90681	0	37.91517	119
90682	0	37.91976	119
90683	0	37.90863	118
90684	0	37.91397	118
90686	0	37.89934	118
90687	0	37.71571	117
90688	0	37.83521	116
90690	0	37.91397	306
90691	0	37.90703	122
90692	0	37.90703	32
90693	0	37.91517	221
90694	0	37.91517	122
90695	0	37.91517	32
90696	0	37.91976	122
90697	0	37.90863	222
90698	0	37.91055	306
90699	0	37.90947	32
90700	0	37.91055	33
90701	0	38.35242	125
90702	0	37.91397	222
90703	0	37.91397	123
90704	0	37.91397	33
90705	0	37.89934	306
90706	0	37.89934	222
90707	0	37.89934	123
90708	0	37.90947	306
90709	0	37.90947	123
90710	0	37.91055	123
90711	0	38.34425	223
90712	0	37.93361	210
90713	0	37.93283	112
90714	0	38.25059	308
90715	0	38.25059	224
90716	0	38.25059	124
90717	0	38.25059	39
90718	0	38.29742	307
90719	0	38.29742	124
90721	0	38.34425	307
90722	0	38.35242	38
90723	0	38.34425	125
90724	0	38.34425	38
90725	0	38.34459	307
90726	0	38.34459	223
90727	0	38.34459	125
90728	0	38.34459	38
90730	0	38.35242	223
90731	0	37.90947	222
90732	0	38.29742	39
90733	0	37.87467	300
90734	0	37.90919	118
90735	0	37.89934	32
90736	0	37.93283	131
90737	0	37.93283	27
90738	0	37.88316	210
90739	0	37.88316	116
90740	0	37.88316	26
90741	0	37.8734	210
90742	0	37.93283	302
90743	0	37.8734	26
90744	0	37.84484	31
90745	0	37.87467	208
90746	0	37.87467	131
90747	0	37.87467	27
90748	0	37.86289	116
90749	0	37.86289	26
90750	0	37.90542	210
90751	0	37.90542	116
90752	0	37.90919	300
90753	0	37.90919	210
90754	0	37.8734	116
90755	0	37.72695	117
90756	0	37.71571	209
90757	0	37.90919	26
90758	0	37.71571	117
90759	0	37.71571	31
90760	0	37.70635	209
90761	0	37.71111	301
90762	0	37.71111	117
90763	0	37.71111	31
90764	0	37.71571	301
90765	0	37.72695	209
90766	0	37.93283	208
90767	0	37.72695	27
90768	0	37.70963	301
90769	0	37.70963	209
90770	0	37.70963	117
90771	0	37.70963	27
90772	0	37.83521	115
90773	0	37.83521	27
90774	0	37.84484	115
90775	0	37.72695	301
90776	0	37.90919	26
90777	0	37.86289	112
90778	0	38.085	110
90779	0	38.05497	109
90780	0	38.09097	110
90781	0	38.05497	109
90782	0	38.05393	108
90783	0	38.25059	39
90784	0	38.35242	38
90785	0	37.93361	116
90786	0	37.71571	31
90787	0	37.89934	32
90788	0	38.085	25
90789	0	38.29742	307
90790	0	38.35242	307
90791	0	37.89934	306
90792	0	37.89934	123
90793	0	37.90947	306
90795	0	37.93283	302
90796	0	38.34459	307
90797	0	37.91397	33
90798	0	37.87467	131
90799	0	37.93361	300
90800	0	37.71571	117
90801	0	38.25059	224
90802	0	38.35242	223
90803	0	37.90947	222
90804	0	37.91517	221
90805	0	37.93361	210
90806	0	37.72695	209
90807	0	37.93283	208
90808	0	37.93283	27
90809	0	38.085	208
90810	0	38.085	299
90811	0	38.25059	126
90812	0	38.35242	125
90813	0	38.35242	125
90814	0	38.25059	124
90815	0	37.90703	122
90816	0	37.90703	119
