Sample_ID	Acentrella	Ameletus	Amphinemura	Baetis	Cinygmula	Constempellina	Demicryptochironomus	Diploperla	Drunella	Ectopria	Epeorus	Ephemerella	Eukiefferiella	Glossosomatidae	Gonomyia	Haploperla	Helichus	Hexatoma	Isonychia	Lepidostoma	Paraleptophlebia	Leuctra	Micropsectra	Neophylax	Neoplasta	Oligochaeta	Optioservus	Orthocladius	Ostrocerca	Parachaetocladius	Plauditus	Polypedilum	Rhyacophila	Simulium	Stilocladius	Taeniopteryx	Thienemanniella	Thienemannimyia	Zavrelimyia	Bezzia_Palpomyia	Leuctridae	Limnephilidae	Nemouridae	Parametriocnemus	Prosimulium	Wormaldia	Acroneuria	Capniidae	Chaetocladius	Chelifera	Cricotopus	Diamesa	Diplectrona	Pseudolimnophila	Pteronarcys	Tipula	Tvetenia	Cheumatopsyche	Chloroperlidae	Dolophilodes	Heleniella	Hydrobaenus	Krenosmittia	Lanthus	Philopotamidae	Polycentropus	Antocha	Chimarra	Corydalus	Dubiraphia	Gomphidae	Hemerodromia	Hydropsyche	Nigronia	Rheocricotopus	Rheotanytarsus	Cambarus	Macronychus	Neozavrelia	Prostoma	Tanytarsus	Atrichopogon	Limonia	Lymnaeidae	Allocapnia	Clinocera	Perlodidae	Dicranota	Cordulegaster	Corynoneura	Isoperla	Sympotthastia	Parakiefferiella	Diplocladius	Heptageniidae	Molophilus	Taenionema	Baetidae	Boyeria	Chrysops	Paracricotopus	Stempellinella	Stenonema	Cryptolabis	Ephemera	Eurylophella	Hydatophylax	Natarsia	Orconectes	Pseudorthocladius	Stylogomphus	Ferrissia	Paratanytarsus	Caenis	Ephemerellidae	Psephenus	Stenelmis	Orthocladiinae	Acricotopus	Empididae	Hydroptila	Oulimnius	Peltoperla	Stactobiella	Yugus	Enallagma	Endochironomus	Paraphaenocladius	Physella	Pisidiidae	Cultus	Malirekus	Sweltsa	Argia	Dasyhelea	Larsia	Odontomyia	Tipulidae	Chironomus	Paramerina	Callibaetis	Agabus	Limnophyes	Dicrotendipes	Hydropsychidae	Ochrotrichia	Lebertia	Microcylloepus	Oecetis	Ceratopogonidae	Perlidae	Remenus	Prostoia	Caloparyphus	Myxosargus	Nilotanypus	Ablabesmyia	Tabanidae	Eccoptura	Nanocladius	Agapetus	Dolichopodidae	Forcipomyia	Baetisca	Microtendipes	Stenacron	Cladotanytarsus	Protoplasa	Sublettea	Nematoda	Stenochironomus	Dixa	Metriocnemus	Psilometriocnemus	Clioperla	Neostempellina	Mesocricotopus	Paralauterborniella	Paratendipes	Tropisternus	Cardiocladius	Parachironomus	Phaenopsectra	Psectrocladius	Cryptochironomus	Gyraulus	Peltoperlidae	Pycnopsyche	Hybomitra	Lipsothrix	Cambaridae	Zealeuctra	Paracladopelma	Alloperla	Krenopelopia	Potthastia	Tallaperla	Brillia	Pseudosmittia	Centroptilum	Smittia	Glossosoma	Limnophila	Hydrobius	Fossaria	Lispoides	Corbicula	Elmidae	Hydroptilidae	Synorthocladius	Taeniopterygidae	Sialis	Psychomyia	Paracapnia	Perlesta	Hydrolimax	Goera	Polycentropodidae	Ochthebius	Anchytarsus	Erioptera	Soyedina	Helisoma	Procloeon	Stegopterna	Sperchon	Calopteryx	Pericoma_Telmatoscopus	Hygrobates	Neureclipsis	Heterocloeon	Platysmittia	Cricotopus_Orthocladius	Ancyronyx	Probezzia	Chaoborus	Ceratopsyche	Tanytarsini	Atherix	Lype	Turbellaria	Paratrichocladius	Hansonoperla	Corynoptera	Diphetor	Hydrophilidae	Stygobromus	Leucrocuta	Cirrula	Pentaneura	Caecidotea	Tribelos	Blepharicera	Dytiscidae	Sphaerium	Tanypodinae	Ceratopogon	Rheosmittia	Stempellina	Rhagovelia	Helocombus	Chironomidae	Procladius	Trichoclinocera	Saetheria	Promoresia	Heptagenia
90604	4	6	32	8	6	1	2	1	1	2	1	13	1	1	1	1	1	1	2	1	7	9	2	5	3	5	2	1	1	3	2	1	3	11	1	1	1	2	1																																																																																																																																																																																																																																				
90605		8	1								1	7																					1						1	2	6	1	4	1	1	2																																																																																																																																																																																																																													
90606	15		85	6					1			23											1	1				1					2			1					3						1	2	8	1	1	2	6	2	2	1	3																																																																																																																																																																																																																		
90607		1	33	1					2	1		1	2			1	2							2		1		1													5			6			2		2	1			6					1	3	2	2	1	1	2	2	1																																																																																																																																																																																																									
90608																											41	7								26		1										11			2							38									5	1	2	1	1	2	15	1	1	1																																																																																																																																																																																															
90609	2		7	3									2									1	1			1	7	61				14		3		26		1						5							19	5					3	7									2					4	4	2	1	4	1	1	5	1	7																																																																																																																																																																																										
90610		1		1									2													1	9	17	1				1	10		1								9							1	9				1	3	29									3	1				5	10	1		1					7	1	1	1																																																																																																																																																																																							
90611		1		1																								1					7	1		54	2			6	3			3		1		32					39				18	3															7								2				16	1	2																																																																																																																																																																																				
90612				2																		49	2									1	4	20										8			6			9	1		18				13									1						1	17			8	1		1		6							3																																																																																																																																																																																			
90614			56	3				2															11					6	1			4	3			1	1			2	26			6							1	1	9				31							1									4			1											2	3	1	1	5	8																																																																																																																																																																															
90615			5									1											2					27				2		2			1	1														1						2																																	1		3																																																																																																																																																																														
90616		23										25									9			7		4	3			2			2			1					3	1	30	2	6			5								1	1											1													1						15				1			1	7	1	5																																																																																																																																																																										
90617			10	4				1		1		6	1								1			5			1	1						6		1		4			6			1					3	1			2											1		1											1				4						1											1	1	1	1	1	1																																																																																																																																																																				
90618		5										13	1					1			6	2		12		2						2	2					7	1				10	8	2			10						2		2			3							1					7			2	2						5						7	1	2	1					1								3	1	1	13	2	1	1	1	3																																																																																																																																																												
90619										4																5	21	133							1	13												11			5																				3																			1																						2	1																																																																																																																																																										
90620	3		4									8	2			1					2					9	1	71			1	1			2		3	3	1												8	2				1	2																		1						6									1																		1						2	3	1	1																																																																																																																																																						
90621		1																					1			5	4	5					1	4										2												1						1																																1					1																1			1																																																																																																																																																					
90623			61	39							2		13													5		13					1			1	1	4						4					1	2	9	4					20																				1				3						1				5																												1	4	3	1	1																																																																																																																																																
90624	4		67	15									6									60				1		13						5		69	1				1			1			1			8	1	39	9				12			1						3						2				6					1						4																																					4	1																																																																																																																																														
90625																							13			3								42		2		8	2	3				31				29			1					3		6										23			2		13					1			7													1																						1										1	2	2	3	1																																																																																																																																									
90626			6	1				1				2	1													1		10									5	2	1		1		59	5	1						2	4	1			1	66	1													1		1														16			1	6								1																																1	1	1																																																																																																																																						
90627																										6	1	7					2	1		10	8	6			1			1				22					15			3	14	5								1		3					6				1								6		3			3																		1			1		1																				2																																																																																																																																						
90628																							88					1						7																																						3									1																																																3					13	40	42	1	1																																																																																																																																	
90629																							31			1	1																																													4																										2																							3								6					18	2	125	2		1	4																																																																																																																															
90630																							85			2								69																	2																					3														1				1																																												5	3	24				2	3																																																																																																																														
90631																							136					1						13																																						3														1																																											7					5	1	30	1					1	1																																																																																																																												
90632																										1	30	6						13		13		1										8			9							36										32		2	1	2	19			2																											1																			3																						1	19	1																																																																																																																									
90633																											39					1		1			1	5		1				2							16					1		6								1		4	2			2	2	5	3	1					9																																				4				18														1								1	3	3		1	2	8																																																																																																																						
90634		4	11	32		1			1	1	2	23				1					2	15		2		7	3					1	1	15				1										1		2				2		1	1																				1				1																					3															1					1						1																						2	1	2																																																																																																																			
90635																										2	10	75	8					24		9				1			7	1													1	20										9	1	3		4	5			3					1		1			3							1				1																2				1				3														1										2				1																																																																																																																						
90636																										2	4	1		1				1		6							2	5				2					1			1		5												1		1		1											7									1																																		1	1																								8																																																																																																																		
90637																							1			4								20				3		3				2												1		16										31				3	48	2	1						2																																																																																																																																																																																										
