"","","grps.4"
"1","40","1"
"2","128","2"
"3","129","1"
"4","158","3"
"5","161","4"
"6","167","1"
"7","170","4"
"8","174","2"
"9","176","2"
"10","179","4"
"11","181","1"
"12","185","3"
"13","188","1"
"14","189","1"
"15","190","1"
"16","194","1"
"17","200","1"
"18","202","1"
"19","205","1"
"20","206","1"
"21","208","4"
"22","216","4"
"23","221","1"
"24","223","4"
"25","224","1"
"26","225","1"
"27","228","4"
"28","229","1"
"29","231","1"
"30","239","4"
"31","244","1"
"32","245","1"
"33","246","1"
"34","249","2"
"35","250","2"
"36","256","2"
"37","258","1"
"38","695","3"
"39","719","3"
"40","721","3"
"41","1284","3"
"42","1285","3"
"43","1336","3"
"44","1339","3"
"45","1342","3"
"46","1343","3"
"47","2249","3"
"48","2251","4"
"49","2391","4"
"50","2495","4"
"51","3359","3"
"52","3362","3"
"53","3535","4"
"54","3542","4"
"55","3543","4"
"56","3842","4"
"57","3853","1"
"58","3857","4"
"59","10390","3"
"60","10413","3"
"61","10517","3"
"62","10530","3"
"63","10537","1"
"64","10557","3"
"65","10623","2"
"66","11526","4"
"67","11530","4"
"68","11531","4"
"69","16792","3"
"70","16832","3"
"71","17332","3"
"72","17336","3"
"73","17387","3"
"74","17409","3"
"75","17420","3"
"76","17428","3"
"77","20468","3"
"78","20554","3"
"79","20555","3"
"80","20651","3"
"81","20669","2"
"82","22395","4"
"83","22398","4"
"84","26982","3"
"85","27046","3"
"86","27090","3"
"87","27093","2"
"88","27116","3"
"89","27142","3"
"90","27146","3"
"91","27353","4"
"92","30823","2"
"93","30825","4"
"94","30903","3"
"95","30912","3"
"96","30962","1"
"97","35629","1"
"98","39849","1"
"99","42378","1"
"100","42405","3"
"101","42873","4"
"102","42956","2"
"103","47734","2"
"104","47735","1"
