Sample_ID	Long	Lat	d67	f67	h67	a69	c69	d69	Julian	Precip	Shale	Sandstone	Slope	Min_Temp	Max_Temp	set	logelevation	logcatchment	GrpB	GrpC	clay	sand	Permeability
1	-83.59456	37.09758	0	0	0	0	0	1	231	1239.7828879	1	0	0.0096714684	17.82347773	185.56448879	V	6.882437471	1.5260563035	65	29	3.1322934607	23.72480202	2.38800001
20	-82.57622	37.88498	0	0	0	0	0	1	162	1231.6131791	0	1	0.002305623	13.709209129	183.96632016	T	6.4785096422	3.1892410197	31	55	3.0401797074	31.19037437	4.52699995
21	-82.50709	37.83006	0	0	0	0	0	1	162	1194.6533564	1	0	0.0010130102	13.793348135	184.28030443	T	6.5220927982	2.8763855159	31	55	3.0401797074	31.19037437	4.52699995
26	-82.71872	37.85444	0	0	0	0	0	1	92	1168.0474212	1	0	0.013093017	15.080732299	189.62059088	T	6.4457198194	0.1823215568	31	55	3.0401797074	31.19037437	4.52699995
27	-82.52127	37.79549	0	0	0	0	0	1	169	1193.9190211	1	0	0.0002635157	15.709138769	181.34163804	T	6.576469569	2.3418058061	31	55	3.0401797074	31.19037437	4.52699995
28	-82.57766	37.89416	0	0	0	0	0	1	162	1229.3709122	0	1	0.002305623	14.443338719	181.92313533	T	6.4645883037	3.2268439945	31	55	3.0401797074	31.19037437	4.52699995
40	-82.40413	37.69166	0	0	0	0	0	1	101	1176.502191	1	0	0.0116774368	17.621187233	179.80738818	C	6.7673431253	0.7654678421	31	55	3.0401797074	31.19037437	4.52699995
43	-82.40664	37.6829	0	0	0	0	0	1	101	1176.1696572	0	1	0.0313891327	17.529556123	178.80255925	V	6.8221973906	0.1655144385	31	55	3.0401797074	31.19037437	4.52699995
58	-82.3569	37.63637	0	0	0	0	0	1	163	1177.5371124	1	0	0.0021437562	17.138094347	196.72529031	T	6.5778613577	3.1285133848	31	55	3.0401797074	31.19037437	4.52699995
59	-82.35585	37.64293	0	0	0	0	0	1	190	1177.6035575	1	0	0.0034587215	16.885819667	192.33405598	T	6.5680779114	3.1354942159	31	55	3.0401797074	31.19037437	4.52699995
60	-82.35585	37.64293	0	0	0	0	0	1	250	1177.6035575	1	0	0.0034587215	16.885819667	192.33405598	T	6.5680779114	3.1354942159	31	55	3.0401797074	31.19037437	4.52699995
62	-82.34444	37.52886	0	0	0	0	0	1	93	1171.2906614	1	0	0.010739331	15.05005818	183.09321622	T	6.8012830345	1.7404661748	31	55	3.0401797074	31.19037437	4.52699995
63	-82.034	37.51071	0	0	0	0	0	1	114	1192.2648879	1	0	0.0242284793	14.832122628	183.41018709	T	6.9314718056	0.9001613499	31	55	3.0401797074	31.19037437	4.52699995
65	-82.68368	37.9352	0	0	0	0	0	1	191	1183.1608442	1	0	0.0015125144	13.098826286	188.98367175	T	6.4068799861	2.8349764947	31	55	3.0401797074	31.19037437	4.52699995
66	-82.669	37.94991	0	0	0	0	0	1	162	1177.4506898	1	0	0.0017531792	13.355330081	188.09533441	T	6.3578422665	2.9391619221	31	55	3.0401797074	31.19037437	4.52699995
67	-82.25061	37.37241	0	0	0	0	0	1	170	1172.4070014	1	0	-0.004047281	16.356498298	194.92802943	T	6.7334018918	1.887069649	31	55	3.0401797074	31.19037437	4.52699995
68	-82.89329	37.88984	0	0	0	0	0	1	114	1152.9594561	1	0	0.0265877769	18.362810203	182.69307804	T	6.7417006947	0.0582689081	31	55	3.0401797074	31.19037437	4.52699995
69	-82.95959	37.87167	0	0	0	0	0	1	176	1158.2079354	0	1	0.0000564207	16.501104372	184.58774603	T	6.591673732	3.148882453	31	55	3.0401797074	31.19037437	4.52699995
70	-83.01619	37.82244	0	0	0	0	0	1	157	1171.9727758	1	0	0.005242809	18.976772416	181.56176864	T	6.7673431253	1.418277407	31	55	3.0401797074	31.19037437	4.52699995
73	-82.84908	37.81688	0	0	0	0	0	1	114	1140.4136362	1	0	0.0137713536	15.793307792	192.71061279	T	6.3969296552	0.955511445	31	55	3.0401797074	31.19037437	4.52699995
75	-82.76127	37.77109	0	0	0	0	0	1	107	1142.7328496	1	0	0.0010394844	17.727091293	187.82620273	T	6.5903010482	1.7950872593	31	55	3.0401797074	31.19037437	4.52699995
76	-82.83255	37.71822	0	0	0	0	0	1	92	1153.0631161	1	0	0.0235389341	17.607109467	184.59618631	T	6.6795991858	0.4054651081	31	55	3.0401797074	31.19037437	4.52699995
77	-82.69648	37.73322	0	0	0	0	0	1	113	1159.9400419	1	0	0.0198081608	17.417467144	184.20173793	T	6.6227363239	0.3074846997	31	55	3.0401797074	31.19037437	4.52699995
79	-82.67283	37.68385	0	0	0	0	0	1	113	1144.1019331	0	1	0.0249554756	16.14723271	192.46011644	V	6.5147126909	0.3364722366	31	55	3.0401797074	31.19037437	4.52699995
80	-82.44165	37.49403	0	0	0	0	0	1	169	1189.669129	1	0	0.0083202859	17.645849816	197.60042005	T	6.7580945044	2.1424163408	31	55	3.0401797074	31.19037437	4.52699995
82	-82.52695	37.6257	0	0	0	0	0	1	94	1147.3401202	1	0	0.0047226149	16.975993787	195.93708766	T	6.5750758406	1.7404661748	31	55	3.0401797074	31.19037437	4.52699995
83	-82.45068	37.61453	0	0	0	0	0	1	94	1170.5264539	1	0	0.0082624196	17.060019343	188.22454456	T	6.7487595475	1.7404661748	31	55	3.0401797074	31.19037437	4.52699995
85	-82.77637	37.40672	0	0	0	0	0	1	121	1161.5879249	1	0	0.0225795075	17.710428493	197.28528956	T	6.6293632534	0.97455964	31	55	3.0401797074	31.19037437	4.52699995
86	-82.75774	37.47194	0	0	0	0	0	1	122	1154.3522949	1	0	0.0236631707	17.543071896	199.09386979	T	6.576469569	0.97455964	31	55	3.0401797074	31.19037437	4.52699995
87	-82.80642	37.35797	0	0	0	0	0	1	182	1164.9053124	1	0	0.0005300561	18.465597365	199.66094717	T	6.7262334024	3.2546289946	31	55	3.0401797074	31.19037437	4.52699995
91	-82.6878	37.32683	0	0	0	0	0	1	121	1159.5009519	1	0	0.0224492541	15.99386287	183.56479752	T	7.0192966537	1.0224509277	31	55	3.0401797074	31.19037437	4.52699995
92	-82.71681	37.35119	0	0	0	0	0	1	142	1154.1209309	1	0	0.0169631153	16.859401605	191.94934632	T	6.864847778	1.4586150227	31	55	3.0401797074	31.19037437	4.52699995
93	-82.73301	37.57071	0	0	0	0	0	1	105	1132.3687336	1	0	0.0069949888	17.118955745	200.46557161	T	6.4754327167	1.3350010667	31	55	3.0401797074	31.19037437	4.52699995
